node,n,cases,incidence
11,442,40,0.09049773755656108
7,139,8,0.05755395683453238
10,203,6,0.029556650246305417
6,265,4,0.01509433962264151
14,100,1,0.01
3,524,0,0.0
4,134,0,0.0
13,111,0,0.0
