node,n,cases,incidence
3,10,5,0.5
6,14,5,0.35714285714285715
10,16,5,0.3125
22,26,7,0.2692307692307692
16,13,2,0.15384615384615385
21,26,2,0.07692307692307693
20,103,6,0.05825242718446602
7,180,7,0.03888888888888889
17,115,4,0.034782608695652174
14,457,10,0.02188183807439825
15,946,6,0.006342494714587738
9,12,0,0.0
