node,n,cases,incidence
4,24,6,0.25
10,36,6,0.16666666666666666
12,106,10,0.09433962264150944
7,270,19,0.07037037037037037
8,457,10,0.02188183807439825
5,959,8,0.008342022940563087
11,66,0,0.0
