node,n,cases,incidence
8,435,40,0.09195402298850575
10,140,8,0.05714285714285714
7,198,6,0.030303030303030304
9,265,4,0.01509433962264151
12,100,1,0.01
3,657,0,0.0
11,123,0,0.0
